field,upstream,upstream_pct,status
rln_monitoring_flag,1702,18.2,PIPELINE_GAP
rln_finding_raw,371,4.0,PIPELINE_GAP
parathyroid_autograft_flag,40,0.4,OK
gross_ete_flag,22,0.2,PIPELINE_GAP
local_invasion_flag,25,0.3,OK
tracheal_involvement_flag,9,0.1,OK
esophageal_involvement_flag,0,0.0,SOURCE_LIMITED
strap_muscle_involvement_flag,186,2.0,OK
reoperative_field_flag,46,0.5,OK
drain_flag,169,1.8,PIPELINE_GAP
operative_findings_raw,588,6.3,OK
parathyroid_identified_count,0,0.0,SOURCE_LIMITED
frozen_section_flag,0,0.0,SOURCE_LIMITED
berry_ligament_flag,0,0.0,SOURCE_LIMITED
ebl_ml_nlp,0,0.0,SOURCE_LIMITED
op_rln_monitoring_any,1701,15.6,patient_agg
op_drain_placed_any,169,1.6,patient_agg
op_strap_muscle_any,186,1.7,patient_agg
op_reoperative_any,46,0.4,patient_agg
op_parathyroid_autograft_any,40,0.4,patient_agg
op_local_invasion_any,25,0.2,patient_agg
op_tracheal_inv_any,9,0.1,patient_agg
op_esophageal_inv_any,0,0.0,patient_agg
op_intraop_gross_ete_any,22,0.2,patient_agg
op_n_surgeries_with_findings,8733,80.3,patient_agg
op_findings_summary,587,5.4,patient_agg
