Variable,Category,N,Pct,Mean,SD,Median,IQR,Missing_n,Missing_pct
Histology type,PTC,3000,72.5%,,,,,,
,follicular carcinoma,443,10.7%,,,,,,
,MTC,149,3.6%,,,,,,
,metastatic PTC,133,3.2%,,,,,,
,NIFTP,117,2.8%,,,,,,
,PTC ,72,1.7%,,,,,,
,Follicular carcinoma,43,1.0%,,,,,,
,FTUMP,34,0.8%,,,,,,
,poorly differentiated thyroid carcinoma,24,0.6%,,,,,,
,anaplastic carcinoma,19,0.5%,,,,,,
,Poorly differentiated thyroid carcinoma,11,0.3%,,,,,,
,Metastatic PTC,8,0.2%,,,,,,
,metastatic MTC,7,0.2%,,,,,,
,differentiated high grade thyroid carcinoma,6,0.1%,,,,,,
,recurrent/metastatic PTC,4,0.1%,,,,,,
,metastatic PTC classical,4,0.1%,,,,,,
,metastatic thyroid carcinoma,4,0.1%,,,,,,
,metastatic PTC tall cell variant,4,0.1%,,,,,,
,follicular adenoma,4,0.1%,,,,,,
,Differentiated high grade thyroid carcinoma,3,0.1%,,,,,,
,Metastatic MTC,3,0.1%,,,,,,
,metastatic PTC with tall cell features,3,0.1%,,,,,,
,metastatic follicular carcinoma,2,0.0%,,,,,,
,metastatic PTC?,2,0.0%,,,,,,
,pTC,2,0.0%,,,,,,
,Anaplastic carcinoma,2,0.0%,,,,,,
,differentiated thyroid carcinoma,1,0.0%,,,,,,
,metastatic PTC with focal tall cell features,1,0.0%,,,,,,
,atypical follicular adenoma,1,0.0%,,,,,,
,"MTC
PTC mixed composit",1,0.0%,,,,,,
,Poorly differentied PTC,1,0.0%,,,,,,
,high grade carcinoma with focal squamous features,1,0.0%,,,,,,
,metastatitic PTC,1,0.0%,,,,,,
,metastatic PTC follicular,1,0.0%,,,,,,
,pooly differentiated thyroid carcinoma,1,0.0%,,,,,,
,metastatic/recurrent PTC,1,0.0%,,,,,,
,adenoid cystic carcinoma,1,0.0%,,,,,,
,metastatic PTC/anaplastic carcinoma,1,0.0%,,,,,,
,"**THYROID bIOPSY
Anaplastic carcinoma",1,0.0%,,,,,,
,metastatic thyroid carcinoma with hurthle cell and paillary features,1,0.0%,,,,,,
,angiosarcoma of the thyroid,1,0.0%,,,,,,
,Metastatic PTC with tall cell features,1,0.0%,,,,,,
,recurrent MTC,1,0.0%,,,,,,
,"  metastatic papillary thyroid carcinoma, classic type with focal tall cell features",1,0.0%,,,,,,
,metastatic Anaplastic carcinoma,1,0.0%,,,,,,
,poorly differentiated carcinoma with neuroendocrine differntiation,1,0.0%,,,,,,
,  infiltrating carcinoma with thymUS LIKE differentiation,1,0.0%,,,,,,
,Recurrent/metastatic follicular carcinoma,1,0.0%,,,,,,
, metastatic PTC follicular,1,0.0%,,,,,,
,Follicular adenoma,1,0.0%,,,,,,
, Poorly differentiated thyroid carcinoma,1,0.0%,,,,,,
,metastatic Follicular carcinoma,1,0.0%,,,,,,
,metastatic PTC classical with extensive follicular growth pattern & oncocytic & focal tall cell features <5%,1,0.0%,,,,,,
,Metastatic PTC tall cell variant,1,0.0%,,,,,,
,High-grade PTC with thymic like features,1,0.0%,,,,,,
,metastatic/recurrent follicular carcinoma,1,0.0%,,,,,,
,NUT carcinoma,1,0.0%,,,,,,
,Differentiated high grade thyroid carcinoma ,1,0.0%,,,,,,
,Atypical hurthle cell neoplasm,1,0.0%,,,,,,
AJCC 8th stage group,II,1712,41.4%,,,,,,
,I,1606,38.8%,,,,,,
,IVB,753,18.2%,,,,,,
,Missing,57,1.4%,,,,,,
,III,8,0.2%,,,,,,
ATA risk category,high,1834,44.3%,,,,,,
,intermediate,1202,29.1%,,,,,,
,Missing,993,24.0%,,,,,,
,low,107,2.6%,,,,,,
Procedure type,total_thyroidectomy,2098,50.7%,,,,,,
,hemithyroidectomy,995,24.1%,,,,,,
,Missing,916,22.1%,,,,,,
,other,119,2.9%,,,,,,
,unknown,8,0.2%,,,,,,
Tumor size (cm),,4126,,2.3,2.1,1.7,[0.8–3.2],10.0,0.2%
LN positive,,2293,,3.0,6.0,0.0,[0.0–3.0],1843.0,44.6%
LN examined,,3950,,6.7,13.9,1.0,[0.0–5.0],186.0,4.5%
MACIS score,,4078,,34.2,15.7,37.5,[14.3–45.9],58.0,1.4%
RAI received,Yes,35,0.8%,,,,,,
