Variable,No ETE,Microscopic ETE,Gross ETE,p-value
N (%),185 (31.0%),249 (41.8%),162 (27.2%),
"Age, mean ± SD",48.9 ± 14.2,52.0 ± 14.7,50.2 ± 15.1,0.142
"Age ≥ 55, n (%)",69 (37.3%),112 (45.0%),69 (42.6%),0.271
"Female sex, n (%)",143 (77.3%),193 (77.5%),121 (74.7%),0.781
"Tumor size (cm), median [IQR]",1.8 [1.0–3.8],2.2 [1.3–4.5],2.0 [1.2–4.0],0.003
"  ≤1 cm, n (%)",56 (30.3%),46 (18.5%),40 (24.7%),0.010
"  1.1–2 cm, n (%)",43 (23.2%),72 (28.9%),54 (33.3%),
"  2.1–4 cm, n (%)",46 (24.9%),54 (21.7%),37 (22.8%),
"  >4 cm, n (%)",38 (20.5%),76 (30.5%),31 (19.1%),
"LN positive, n (%)",82 (62.1%),170 (72.0%),105 (65.6%),0.122
"LN ratio, median [IQR]",1.00 [0.00–1.00],1.00 [0.00–1.00],1.00 [0.00–1.00],0.107
"  T1a, n (%)",56 (30.3%),46 (18.5%),25 (15.4%),<0.001
"  T1b, n (%)",43 (23.2%),72 (28.9%),25 (15.4%),
"  T2, n (%)",46 (24.9%),54 (21.7%),13 (8.0%),
"  T3a, n (%)",38 (20.5%),76 (30.5%),3 (1.9%),
"  T3b, n (%)",0 (0.0%),0 (0.0%),50 (30.9%),
"  T4a, n (%)",0 (0.0%),0 (0.0%),46 (28.4%),
"  Stage I, n (%)",144 (77.8%),159 (63.9%),94 (58.0%),<0.001
"  Stage II, n (%)",39 (21.1%),89 (35.7%),48 (29.6%),
"  Stage III, n (%)",0 (0.0%),0 (0.0%),19 (11.7%),
"  Stage IVB, n (%)",0 (0.0%),0 (0.0%),1 (0.6%),
"N1 (any), n (%)",82 (44.3%),170 (68.3%),105 (64.8%),<0.001
"Total thyroidectomy, n (%)",101 (54.6%),138 (55.4%),112 (69.1%),
"  Risk: low, n (%)",92 (49.7%),138 (55.4%),1 (0.6%),<0.001
"  Risk: intermediate, n (%)",57 (30.8%),93 (37.3%),3 (1.9%),
"  Risk: high, n (%)",36 (19.5%),18 (7.2%),158 (97.5%),
